"session","player","stage","step","round","time","timeup"
"room000003","437346957429873","instructions","instructions",1,9394,0
"room000003","437346957429873","quiz","quiz",1,23911,0
"room000003","437346957429873","game","guess",1,10003,1
"room000003","437346957429873","game","results",1,5034,1
"room000003","437346957429873","game","guess",2,10013,1
"room000003","437346957429873","game","results",2,5020,1
"room000003","437346957429873","game","guess",3,10007,1
"room000003","437346957429873","game","results",3,5013,1
"room000003","437346957429873","game","guess",4,10002,1
"room000003","437346957429873","game","results",4,5030,1
